lon,lat,id
-122.253016,37.860670,id20151231110101
-122.251132,37.860765,id20151231110101
-122.251086,37.858625,id20151231110101
-122.244293,37.859004,id20151231110101
-122.243821,37.858069,id20151231110101
-122.237530,37.854872,id20151231110101
-122.232803,37.851184,id20151231110101
-122.226675,37.850010,id20151231110101
-122.224151,37.850977,id20151231110101
-122.224497,37.851843,id20151231110101
-122.223499,37.852591,id20151231110101
-122.224068,37.853438,id20151231110101
-122.223108,37.854089,id20151231110101
-122.223505,37.855071,id20151231110101
-122.221624,37.855268,id20151231110101
-122.222571,37.857873,id20151231110101
-122.220582,37.860184,id20151231110101
-122.219321,37.859433,id20151231110101
-122.219174,37.857501,id20151231110101
-122.216421,37.855991,id20151231110101
-122.214307,37.856192,id20151231110101
-122.212926,37.854837,id20151231110101
-122.212778,37.854180,id20151231110101
-122.214614,37.853012,id20151231110101
-122.212404,37.852576,id20151231110101
-122.211904,37.850960,id20151231110101
-122.210420,37.851361,id20151231110101
-122.208723,37.850249,id20151231110101
-122.207968,37.851243,id20151231110101
-122.206380,37.850534,id20151231110101
-122.203897,37.850729,id20151231110101
-122.201255,37.847757,id20151231110101
-122.198409,37.847145,id20151231110101
-122.195245,37.842977,id20151231110101
-122.197841,37.842558,id20151231110101
-122.198638,37.841309,id20151231110101
-122.197931,37.840382,id20151231110101
-122.189517,37.837052,id20151231110101
-122.185753,37.836506,id20151231110101
-122.180913,37.833878,id20151231110101
-122.179568,37.835892,id20151231110101
-122.180704,37.834576,id20151231110101
-122.181020,37.836163,id20151231110101
-122.181917,37.836461,id20151231110101
-122.180368,37.837941,id20151231110101
-122.184818,37.840770,id20151231110101
-122.174751,37.836664,id20151231110101
-122.184795,37.840642,id20151231110101
-122.180426,37.837718,id20151231110101
-122.181915,37.836623,id20151231110101
-122.181095,37.836102,id20151231110101
-122.181036,37.834703,id20151231110101
-122.179611,37.835864,id20151231110101
-122.181019,37.833785,id20151231110101
-122.185711,37.836484,id20151231110101
-122.189172,37.836952,id20151231110101
-122.193755,37.839302,id20151231110101
-122.197675,37.840288,id20151231110101
-122.198441,37.841503,id20151231110101
-122.197803,37.842633,id20151231110101
-122.195217,37.842879,id20151231110101
-122.196533,37.844011,id20151231110101
-122.196909,37.845920,id20151231110101
-122.198602,37.847350,id20151231110101
-122.200500,37.847675,id20151231110101
-122.202791,37.851310,id20151231110101
-122.210069,37.852262,id20151231110101
-122.211920,37.856828,id20151231110101
-122.215944,37.859531,id20151231110101
-122.217418,37.861975,id20151231110101
-122.220353,37.864403,id20151231110101
-122.222039,37.864543,id20151231110101
-122.222732,37.865784,id20151231110101
-122.219193,37.868117,id20151231110101
-122.216082,37.867993,id20151231110101
-122.218696,37.870639,id20151231110101
-122.218951,37.872089,id20151231110101
-122.220548,37.872496,id20151231110101
-122.221752,37.875025,id20151231110101
-122.220180,37.876534,id20151231110101
-122.222300,37.881898,id20151231110101
-122.220717,37.880976,id20151231110101
-122.221483,37.884160,id20151231110101
-122.224267,37.884971,id20151231110101
-122.221618,37.883628,id20151231110101
-122.224328,37.884837,id20151231110101
-122.221112,37.883800,id20151231110101
-122.221405,37.882069,id20151231110101
-122.220712,37.880818,id20151231110101
-122.222274,37.882014,id20151231110101
-122.221737,37.879675,id20151231110101
-122.224141,37.880467,id20151231110101
-122.226504,37.879682,id20151231110101
-122.231853,37.881545,id20151231110101
-122.234118,37.881514,id20151231110101
-122.235917,37.882131,id20151231110101
-122.236360,37.883650,id20151231110101
-122.238793,37.882674,id20151231110101
-122.239845,37.884512,id20151231110101
-122.240393,37.883074,id20151231110101
-122.243522,37.880979,id20151231110101
-122.245648,37.883228,id20151231110101
-122.243062,37.884515,id20151231110101
-122.242908,37.886390,id20151231110101
-122.244730,37.887419,id20151231110101
-122.248521,37.887763,id20151231110101
-122.247501,37.888991,id20151231110101
-122.248736,37.891335,id20151231110101
-122.245604,37.893261,id20151231110101
-122.250119,37.892877,id20151231110101
-122.251275,37.893884,id20151231110101
-122.252892,37.893743,id20151231110101
-122.253359,37.895928,id20151231110101
-122.256168,37.896323,id20151231110101
-122.256701,37.899633,id20151231110101
-122.258383,37.899052,id20151231110101
-122.261219,37.899971,id20151231110101
-122.261296,37.901404,id20151231110101
-122.265239,37.904219,id20151231110101
-122.270006,37.904490,id20151231110101
-122.270688,37.901941,id20151231110101
-122.269597,37.901392,id20151231110101
-122.271067,37.899481,id20151231110101
-122.266908,37.892341,id20151231110101
-122.265632,37.877758,id20151231110101
-122.260703,37.877683,id20151231110101
-122.260031,37.875036,id20151231110101
-122.256906,37.875430,id20151231110101
-122.252771,37.871523,id20151231110101
-122.250190,37.862346,id20151231110101
-122.251223,37.862047,id20151231110101
-122.251120,37.860914,id20151231110101
-122.253295,37.860600,id20151231110101
-122.252154,37.860741,id20160101141919
-122.251156,37.860830,id20160101141919
-122.251010,37.858559,id20160101141919
-122.244003,37.858949,id20160101141919
-122.243854,37.858132,id20160101141919
-122.237280,37.854834,id20160101141919
-122.232675,37.851177,id20160101141919
-122.226752,37.850034,id20160101141919
-122.224133,37.851182,id20160101141919
-122.224513,37.851906,id20160101141919
-122.223514,37.852448,id20160101141919
-122.224081,37.853528,id20160101141919
-122.223092,37.854079,id20160101141919
-122.223522,37.855043,id20160101141919
-122.221774,37.855170,id20160101141919
-122.222522,37.858012,id20160101141919
-122.220727,37.860310,id20160101141919
-122.217776,37.856517,id20160101141919
-122.214212,37.856141,id20160101141919
-122.212817,37.854749,id20160101141919
-122.212830,37.854040,id20160101141919
-122.214601,37.853026,id20160101141919
-122.212405,37.852594,id20160101141919
-122.212089,37.851047,id20160101141919
-122.210395,37.851389,id20160101141919
-122.209035,37.850334,id20160101141919
-122.208359,37.851240,id20160101141919
-122.203979,37.850765,id20160101141919
-122.200650,37.847696,id20160101141919
-122.203030,37.851412,id20160101141919
-122.208865,37.851674,id20160101141919
-122.210265,37.852440,id20160101141919
-122.211802,37.856891,id20160101141919
-122.215995,37.859556,id20160101141919
-122.217390,37.861953,id20160101141919
-122.220122,37.864220,id20160101141919
-122.221865,37.864251,id20160101141919
-122.222787,37.866330,id20160101141919
-122.221062,37.866516,id20160101141919
-122.219268,37.868146,id20160101141919
-122.216098,37.868088,id20160101141919
-122.218694,37.870676,id20160101141919
-122.219104,37.872270,id20160101141919
-122.220534,37.872463,id20160101141919
-122.221528,37.874417,id20160101141919
-122.221601,37.875516,id20160101141919
-122.220184,37.876552,id20160101141919
-122.221415,37.878676,id20160101141919
-122.221300,37.880111,id20160101141919
-122.217831,37.879360,id20160101141919
-122.216194,37.880802,id20160101141919
-122.214298,37.880134,id20160101141919
-122.212072,37.882811,id20160101141919
-122.212072,37.881346,id20160101141919
-122.209940,37.881238,id20160101141919
-122.207500,37.883711,id20160101141919
-122.205421,37.883242,id20160101141919
-122.203180,37.884060,id20160101141919
-122.198779,37.883265,id20160101141919
-122.198995,37.884929,id20160101141919
-122.198384,37.885266,id20160101141919
-122.195031,37.884533,id20160101141919
-122.195916,37.887152,id20160101141919
-122.195085,37.887601,id20160101141919
-122.191056,37.882695,id20160101141919
-122.181569,37.877425,id20160101141919
-122.182366,37.879321,id20160101141919
-122.177386,37.886858,id20160101141919
-122.173848,37.889905,id20160101141919
-122.168750,37.891860,id20160101141919
-122.163233,37.892505,id20160101141919
-122.157870,37.891838,id20160101141919
-122.158002,37.889892,id20160101141919
-122.156339,37.886625,id20160101141919
-122.153815,37.889949,id20160101141919
-122.150830,37.889477,id20160101141919
-122.144630,37.890277,id20160101141919
-122.139597,37.888056,id20160101141919
-122.136041,37.887821,id20160101141919
-122.125609,37.891201,id20160101141919
-122.126810,37.895250,id20160101141919
-122.130893,37.899858,id20160101141919
-122.137547,37.902668,id20160101141919
-122.140591,37.904903,id20160101141919
-122.152865,37.906465,id20160101141919
-122.158538,37.908356,id20160101141919
-122.159274,37.909796,id20160101141919
-122.160218,37.909254,id20160101141919
-122.162375,37.909738,id20160101141919
-122.163084,37.911689,id20160101141919
-122.162022,37.912665,id20160101141919
-122.162665,37.914494,id20160101141919
-122.158223,37.914937,id20160101141919
-122.159963,37.917254,id20160101141919
-122.158050,37.917585,id20160101141919
-122.160977,37.918343,id20160101141919
-122.162084,37.920497,id20160101141919
-122.164495,37.921370,id20160101141919
-122.166498,37.919742,id20160101141919
-122.174079,37.917988,id20160101141919
-122.185777,37.919417,id20160101141919
-122.192175,37.920765,id20160101141919
-122.195360,37.922286,id20160101141919
-122.196871,37.921571,id20160101141919
-122.197535,37.919459,id20160101141919
-122.200225,37.917558,id20160101141919
-122.200666,37.914226,id20160101141919
-122.204415,37.908961,id20160101141919
-122.209654,37.908953,id20160101141919
-122.211045,37.908174,id20160101141919
-122.211237,37.906525,id20160101141919
-122.208099,37.903860,id20160101141919
-122.207092,37.901650,id20160101141919
-122.210774,37.899351,id20160101141919
-122.216843,37.900238,id20160101141919
-122.219170,37.897767,id20160101141919
-122.220209,37.899384,id20160101141919
-122.222596,37.899324,id20160101141919
-122.223248,37.898263,id20160101141919
-122.227255,37.900186,id20160101141919
-122.230089,37.898481,id20160101141919
-122.239658,37.901409,id20160101141919
-122.243387,37.905097,id20160101141919
-122.250328,37.900827,id20160101141919
-122.249442,37.899580,id20160101141919
-122.247712,37.899256,id20160101141919
-122.246272,37.897133,id20160101141919
-122.244348,37.896634,id20160101141919
-122.242260,37.893540,id20160101141919
-122.244139,37.892411,id20160101141919
-122.246341,37.893053,id20160101141919
-122.248973,37.891305,id20160101141919
-122.247700,37.889200,id20160101141919
-122.248329,37.887501,id20160101141919
-122.244623,37.887282,id20160101141919
-122.242896,37.886051,id20160101141919
-122.243179,37.884420,id20160101141919
-122.245910,37.882949,id20160101141919
-122.244913,37.881539,id20160101141919
-122.247382,37.880895,id20160101141919
-122.242332,37.877123,id20160101141919
-122.241795,37.875686,id20160101141919
-122.238653,37.875598,id20160101141919
-122.241342,37.872730,id20160101141919
-122.246187,37.872712,id20160101141919
-122.249682,37.871323,id20160101141919
-122.249991,37.868131,id20160101141919
-122.252080,37.867650,id20160101141919
-122.250416,37.865183,id20160101141919
-122.250163,37.862415,id20160101141919
-122.251227,37.862151,id20160101141919
-122.251229,37.860796,id20160101141919
-122.253302,37.860616,id20160101141919
-122.252909,37.860664,id20160102142634
-122.251191,37.860776,id20160102142634
-122.251180,37.862131,id20160102142634
-122.250115,37.862380,id20160102142634
-122.250399,37.865750,id20160102142634
-122.251546,37.866521,id20160102142634
-122.252751,37.871753,id20160102142634
-122.256716,37.875497,id20160102142634
-122.260177,37.875207,id20160102142634
-122.260692,37.877809,id20160102142634
-122.265581,37.877731,id20160102142634
-122.266922,37.892640,id20160102142634
-122.268445,37.894135,id20160102142634
-122.271092,37.899761,id20160102142634
-122.269521,37.901439,id20160102142634
-122.270631,37.902027,id20160102142634
-122.270172,37.904409,id20160102142634
-122.265392,37.904269,id20160102142634
-122.261357,37.901468,id20160102142634
-122.260779,37.899686,id20160102142634
-122.258450,37.899006,id20160102142634
-122.256606,37.899497,id20160102142634
-122.256040,37.896171,id20160102142634
-122.253445,37.896061,id20160102142634
-122.252701,37.895037,id20160102142634
-122.253039,37.893844,id20160102142634
-122.243776,37.892457,id20160102142634
-122.242103,37.893401,id20160102142634
-122.244142,37.896632,id20160102142634
-122.246288,37.897244,id20160102142634
-122.247966,37.899698,id20160102142634
-122.249476,37.899642,id20160102142634
-122.250272,37.900692,id20160102142634
-122.244429,37.904868,id20160102142634
-122.242996,37.904988,id20160102142634
-122.239823,37.901375,id20160102142634
-122.230270,37.898408,id20160102142634
-122.226927,37.900050,id20160102142634
-122.222981,37.898216,id20160102142634
-122.222595,37.899236,id20160102142634
-122.220007,37.899279,id20160102142634
-122.219334,37.897644,id20160102142634
-122.216851,37.900189,id20160102142634
-122.210794,37.899277,id20160102142634
-122.209746,37.900409,id20160102142634
-122.207444,37.900984,id20160102142634
-122.207434,37.903105,id20160102142634
-122.210780,37.906078,id20160102142634
-122.211119,37.907814,id20160102142634
-122.209481,37.908906,id20160102142634
-122.205896,37.908413,id20160102142634
-122.204192,37.909027,id20160102142634
-122.200475,37.914415,id20160102142634
-122.200217,37.917403,id20160102142634
-122.197753,37.919122,id20160102142634
-122.196867,37.921343,id20160102142634
-122.195591,37.922179,id20160102142634
-122.185508,37.919277,id20160102142634
-122.173712,37.917905,id20160102142634
-122.166196,37.919757,id20160102142634
-122.164409,37.921263,id20160102142634
-122.162733,37.920717,id20160102142634
-122.160685,37.918161,id20160102142634
-122.158120,37.917586,id20160102142634
-122.159898,37.917218,id20160102142634
-122.158405,37.914854,id20160102142634
-122.162638,37.914468,id20160102142634
-122.161997,37.912764,id20160102142634
-122.163043,37.911664,id20160102142634
-122.162646,37.910358,id20160102142634
-122.170087,37.910855,id20160102142634
-122.171461,37.910126,id20160102142634
-122.174892,37.910662,id20160102142634
-122.179055,37.910066,id20160102142634
-122.178253,37.909750,id20160102142634
-122.179923,37.908767,id20160102142634
-122.188303,37.907232,id20160102142634
-122.190075,37.906122,id20160102142634
-122.189621,37.903725,id20160102142634
-122.193506,37.894087,id20160102142634
-122.194813,37.888626,id20160102142634
-122.191931,37.883418,id20160102142634
-122.182501,37.877760,id20160102142634
-122.179664,37.877004,id20160102142634
-122.176190,37.867178,id20160102142634
-122.174390,37.865183,id20160102142634
-122.165807,37.860603,id20160102142634
-122.158342,37.858077,id20160102142634
-122.152767,37.854653,id20160102142634
-122.151749,37.852285,id20160102142634
-122.152669,37.848429,id20160102142634
-122.151230,37.846108,id20160102142634
-122.127605,37.833962,id20160102142634
-122.129873,37.831923,id20160102142634
-122.132881,37.822681,id20160102142634
-122.135242,37.821906,id20160102142634
-122.139500,37.823194,id20160102142634
-122.142454,37.822734,id20160102142634
-122.143815,37.822126,id20160102142634
-122.146423,37.818658,id20160102142634
-122.154198,37.821717,id20160102142634
-122.158948,37.825036,id20160102142634
-122.161218,37.825733,id20160102142634
-122.173539,37.836250,id20160102142634
-122.181360,37.839834,id20160102142634
-122.184790,37.840778,id20160102142634
-122.180438,37.838015,id20160102142634
-122.181915,37.836436,id20160102142634
-122.180999,37.836182,id20160102142634
-122.180712,37.834592,id20160102142634
-122.179672,37.835886,id20160102142634
-122.181089,37.833881,id20160102142634
-122.185584,37.836482,id20160102142634
-122.189141,37.837007,id20160102142634
-122.193766,37.839384,id20160102142634
-122.197544,37.840291,id20160102142634
-122.198496,37.841389,id20160102142634
-122.197931,37.842463,id20160102142634
-122.195227,37.842961,id20160102142634
-122.196627,37.844075,id20160102142634
-122.196920,37.845960,id20160102142634
-122.198575,37.847435,id20160102142634
-122.200479,37.847676,id20160102142634
-122.202764,37.851349,id20160102142634
-122.209353,37.851936,id20160102142634
-122.210893,37.853681,id20160102142634
-122.211863,37.857031,id20160102142634
-122.215979,37.859563,id20160102142634
-122.217486,37.862033,id20160102142634
-122.220259,37.864330,id20160102142634
-122.221990,37.864322,id20160102142634
-122.222747,37.866291,id20160102142634
-122.220992,37.866475,id20160102142634
-122.217775,37.868647,id20160102142634
-122.220899,37.870734,id20160102142634
-122.222707,37.870309,id20160102142634
-122.224326,37.871595,id20160102142634
-122.225601,37.870045,id20160102142634
-122.228865,37.868951,id20160102142634
-122.231457,37.865392,id20160102142634
-122.233353,37.864088,id20160102142634
-122.242017,37.860567,id20160102142634
