lon,lat,id
-122.253016,37.860670,20151231110101
-122.251132,37.860765,20151231110101
-122.251086,37.858625,20151231110101
-122.244293,37.859004,20151231110101
-122.243821,37.858069,20151231110101
-122.237530,37.854872,20151231110101
-122.232803,37.851184,20151231110101
-122.226675,37.850010,20151231110101
-122.224151,37.850977,20151231110101
-122.224497,37.851843,20151231110101
-122.223499,37.852591,20151231110101
-122.224068,37.853438,20151231110101
-122.223108,37.854089,20151231110101
-122.223505,37.855071,20151231110101
-122.221624,37.855268,20151231110101
-122.222571,37.857873,20151231110101
-122.220582,37.860184,20151231110101
-122.219321,37.859433,20151231110101
-122.219174,37.857501,20151231110101
-122.216421,37.855991,20151231110101
-122.214307,37.856192,20151231110101
-122.212926,37.854837,20151231110101
-122.212778,37.854180,20151231110101
-122.214614,37.853012,20151231110101
-122.212404,37.852576,20151231110101
-122.211904,37.850960,20151231110101
-122.210420,37.851361,20151231110101
-122.208723,37.850249,20151231110101
-122.207968,37.851243,20151231110101
-122.206380,37.850534,20151231110101
-122.203897,37.850729,20151231110101
-122.201255,37.847757,20151231110101
-122.198409,37.847145,20151231110101
-122.195245,37.842977,20151231110101
-122.197841,37.842558,20151231110101
-122.198638,37.841309,20151231110101
-122.197931,37.840382,20151231110101
-122.189517,37.837052,20151231110101
-122.185753,37.836506,20151231110101
-122.180913,37.833878,20151231110101
-122.179568,37.835892,20151231110101
-122.180704,37.834576,20151231110101
-122.181020,37.836163,20151231110101
-122.181917,37.836461,20151231110101
-122.180368,37.837941,20151231110101
-122.184818,37.840770,20151231110101
-122.174751,37.836664,20151231110101
-122.184795,37.840642,20151231110101
-122.180426,37.837718,20151231110101
-122.181915,37.836623,20151231110101
-122.181095,37.836102,20151231110101
-122.181036,37.834703,20151231110101
-122.179611,37.835864,20151231110101
-122.181019,37.833785,20151231110101
-122.185711,37.836484,20151231110101
-122.189172,37.836952,20151231110101
-122.193755,37.839302,20151231110101
-122.197675,37.840288,20151231110101
-122.198441,37.841503,20151231110101
-122.197803,37.842633,20151231110101
-122.195217,37.842879,20151231110101
-122.196533,37.844011,20151231110101
-122.196909,37.845920,20151231110101
-122.198602,37.847350,20151231110101
-122.200500,37.847675,20151231110101
-122.202791,37.851310,20151231110101
-122.210069,37.852262,20151231110101
-122.211920,37.856828,20151231110101
-122.215944,37.859531,20151231110101
-122.217418,37.861975,20151231110101
-122.220353,37.864403,20151231110101
-122.222039,37.864543,20151231110101
-122.222732,37.865784,20151231110101
-122.219193,37.868117,20151231110101
-122.216082,37.867993,20151231110101
-122.218696,37.870639,20151231110101
-122.218951,37.872089,20151231110101
-122.220548,37.872496,20151231110101
-122.221752,37.875025,20151231110101
-122.220180,37.876534,20151231110101
-122.222300,37.881898,20151231110101
-122.220717,37.880976,20151231110101
-122.221483,37.884160,20151231110101
-122.224267,37.884971,20151231110101
-122.221618,37.883628,20151231110101
-122.224328,37.884837,20151231110101
-122.221112,37.883800,20151231110101
-122.221405,37.882069,20151231110101
-122.220712,37.880818,20151231110101
-122.222274,37.882014,20151231110101
-122.221737,37.879675,20151231110101
-122.224141,37.880467,20151231110101
-122.226504,37.879682,20151231110101
-122.231853,37.881545,20151231110101
-122.234118,37.881514,20151231110101
-122.235917,37.882131,20151231110101
-122.236360,37.883650,20151231110101
-122.238793,37.882674,20151231110101
-122.239845,37.884512,20151231110101
-122.240393,37.883074,20151231110101
-122.243522,37.880979,20151231110101
-122.245648,37.883228,20151231110101
-122.243062,37.884515,20151231110101
-122.242908,37.886390,20151231110101
-122.244730,37.887419,20151231110101
-122.248521,37.887763,20151231110101
-122.247501,37.888991,20151231110101
-122.248736,37.891335,20151231110101
-122.245604,37.893261,20151231110101
-122.250119,37.892877,20151231110101
-122.251275,37.893884,20151231110101
-122.252892,37.893743,20151231110101
-122.253359,37.895928,20151231110101
-122.256168,37.896323,20151231110101
-122.256701,37.899633,20151231110101
-122.258383,37.899052,20151231110101
-122.261219,37.899971,20151231110101
-122.261296,37.901404,20151231110101
-122.265239,37.904219,20151231110101
-122.270006,37.904490,20151231110101
-122.270688,37.901941,20151231110101
-122.269597,37.901392,20151231110101
-122.271067,37.899481,20151231110101
-122.266908,37.892341,20151231110101
-122.265632,37.877758,20151231110101
-122.260703,37.877683,20151231110101
-122.260031,37.875036,20151231110101
-122.256906,37.875430,20151231110101
-122.252771,37.871523,20151231110101
-122.250190,37.862346,20151231110101
-122.251223,37.862047,20151231110101
-122.251120,37.860914,20151231110101
-122.253295,37.860600,20151231110101
-122.252154,37.860741,20160101141919
-122.251156,37.860830,20160101141919
-122.251010,37.858559,20160101141919
-122.244003,37.858949,20160101141919
-122.243854,37.858132,20160101141919
-122.237280,37.854834,20160101141919
-122.232675,37.851177,20160101141919
-122.226752,37.850034,20160101141919
-122.224133,37.851182,20160101141919
-122.224513,37.851906,20160101141919
-122.223514,37.852448,20160101141919
-122.224081,37.853528,20160101141919
-122.223092,37.854079,20160101141919
-122.223522,37.855043,20160101141919
-122.221774,37.855170,20160101141919
-122.222522,37.858012,20160101141919
-122.220727,37.860310,20160101141919
-122.217776,37.856517,20160101141919
-122.214212,37.856141,20160101141919
-122.212817,37.854749,20160101141919
-122.212830,37.854040,20160101141919
-122.214601,37.853026,20160101141919
-122.212405,37.852594,20160101141919
-122.212089,37.851047,20160101141919
-122.210395,37.851389,20160101141919
-122.209035,37.850334,20160101141919
-122.208359,37.851240,20160101141919
-122.203979,37.850765,20160101141919
-122.200650,37.847696,20160101141919
-122.203030,37.851412,20160101141919
-122.208865,37.851674,20160101141919
-122.210265,37.852440,20160101141919
-122.211802,37.856891,20160101141919
-122.215995,37.859556,20160101141919
-122.217390,37.861953,20160101141919
-122.220122,37.864220,20160101141919
-122.221865,37.864251,20160101141919
-122.222787,37.866330,20160101141919
-122.221062,37.866516,20160101141919
-122.219268,37.868146,20160101141919
-122.216098,37.868088,20160101141919
-122.218694,37.870676,20160101141919
-122.219104,37.872270,20160101141919
-122.220534,37.872463,20160101141919
-122.221528,37.874417,20160101141919
-122.221601,37.875516,20160101141919
-122.220184,37.876552,20160101141919
-122.221415,37.878676,20160101141919
-122.221300,37.880111,20160101141919
-122.217831,37.879360,20160101141919
-122.216194,37.880802,20160101141919
-122.214298,37.880134,20160101141919
-122.212072,37.882811,20160101141919
-122.212072,37.881346,20160101141919
-122.209940,37.881238,20160101141919
-122.207500,37.883711,20160101141919
-122.205421,37.883242,20160101141919
-122.203180,37.884060,20160101141919
-122.198779,37.883265,20160101141919
-122.198995,37.884929,20160101141919
-122.198384,37.885266,20160101141919
-122.195031,37.884533,20160101141919
-122.195916,37.887152,20160101141919
-122.195085,37.887601,20160101141919
-122.191056,37.882695,20160101141919
-122.181569,37.877425,20160101141919
-122.182366,37.879321,20160101141919
-122.177386,37.886858,20160101141919
-122.173848,37.889905,20160101141919
